Season,DayNum,TeamID,OppTeamID,Line,OU,is_neutral,tm_hca
2012,138.0,1243,1393,6.0,134,1,0
2012,138.0,1435,1458,0.0,122.5,1,0
2012,139.0,1153,1199,3.0,128,1,0
2012,139.0,1313,1196,14.0,144,1,0
2012,139.0,1345,1242,8.0,142,1,0
2012,139.0,1387,1277,7.5,123.5,1,0
2012,139.0,1301,1207,4.0,132,1,0
2012,139.0,1166,1314,9.5,160,1,0
2012,139.0,1325,1378,2.5,115.5,1,0
2012,139.0,1250,1462,3.5,138.5,1,0
2012,143.0,1196,1266,1.5,148.5,1,0
2012,143.0,1257,1277,5.5,125,1,0
2012,143.0,1153,1326,7.5,128.5,1,0
2012,143.0,1458,1393,3.0,119.5,1,0
2012,144.0,1462,1124,6.5,143,1,0
2012,144.0,1301,1242,8.5,143,1,0
2012,144.0,1231,1246,9.5,144.5,1,0
2012,144.0,1325,1314,10.5,142.5,1,0
2012,145.0,1196,1257,-1.0,133,1,0
2012,145.0,1326,1393,-3.0,136,1,0
2012,146.0,1242,1314,-2.0,141,1,0
2012,146.0,1124,1246,7.5,147.5,1,0
2012,152.0,1326,1242,-3.0,137,1,0
2012,152.0,1257,1246,8.0,135.5,1,0
2012,154.0,1242,1246,6.0,138,1,0
2013,134.0,1251,1299,3.0,128,1,0
2013,134.0,1292,1388,3.0,130,1,0
2013,135.0,1254,1241,0.0,146,1,0
2013,135.0,1247,1129,1.5,139,1,0
2013,136.0,1125,1112,4.5,139.5,1,0
2013,136.0,1137,1139,3.0,121.5,1,0
2013,136.0,1143,1424,3.5,130,1,0
2013,136.0,1281,1161,-3.0,144,1,0
2013,136.0,1380,1211,22.5,127,1,0
2013,136.0,1217,1307,10.5,125.5,1,0
2013,136.0,1299,1257,26.5,124,1,0
2013,136.0,1172,1266,3.0,137,1,0
2013,136.0,1388,1272,1.0,139.5,1,0
2013,136.0,1434,1277,9.5,130,1,0
2013,136.0,1332,1329,2.0,135,1,0
2013,136.0,1308,1387,9.0,124.5,1,0
2013,136.0,1285,1393,13.0,126,1,0
2013,136.0,1103,1433,7.0,134,1,0
2013,136.0,1455,1338,4.5,119,1,0
2013,137.0,1153,1166,3.0,128,1,0
2013,137.0,1107,1181,20.5,132,1,0
2013,137.0,1195,1207,13.5,122.5,1,0
2013,137.0,1322,1196,20.0,141.5,1,0
2013,137.0,1160,1228,1.0,127.5,1,0
2013,137.0,1241,1231,21.5,137,1,0
2013,137.0,1235,1323,-1.0,140,1,0
2013,137.0,1443,1242,20.5,132.5,1,0
2013,137.0,1443,1242,20.5,132.5,1,0
2013,137.0,1247,1243,6.0,133,1,0
2013,137.0,1334,1274,14.0,123.5,1,0
2013,137.0,1278,1417,-3.5,134.5,1,0
2013,137.0,1279,1458,6.5,126.5,1,0
2013,137.0,1437,1314,5.0,143,1,0
2013,137.0,1233,1326,15.0,144,1,0
2013,137.0,1328,1361,2.5,132,1,0
2013,137.0,1396,1301,4.0,149.5,1,0
2013,138.0,1217,1112,10.5,133.5,1,0
2013,138.0,1161,1257,10.5,133.5,1,0
2013,138.0,1139,1266,1.5,127.5,1,0
2013,138.0,1433,1276,3.5,144,1,0
2013,138.0,1272,1277,5.5,131,1,0
2013,138.0,1332,1387,4.5,125.5,1,0
2013,138.0,1143,1393,8.0,125.5,1,0
2013,138.0,1455,1211,7.0,130,1,0
2013,139.0,1166,1181,6.0,144.5,1,0
2013,139.0,1195,1361,7.5,135,1,0
2013,139.0,1278,1196,7.5,124.5,1,0
2013,139.0,1396,1231,12.5,147.5,1,0
2013,139.0,1314,1242,6.5,146,1,0
2013,139.0,1247,1279,3.5,144,1,0
2013,139.0,1228,1274,7.5,127,1,0
2013,139.0,1235,1326,7.5,143,1,0
2013,143.0,1266,1274,5.5,127.5,1,0
2013,143.0,1112,1326,3.5,133.5,1,0
2013,143.0,1393,1231,5.0,135.5,1,0
2013,143.0,1247,1455,4.5,134,1,0
2013,144.0,1277,1181,2.0,132.5,1,0
2013,144.0,1195,1196,14.5,137,1,0
2013,144.0,1332,1257,10.5,134,1,0
2013,144.0,1276,1242,1.5,138,1,0
2013,145.0,1393,1266,-4.5,126.5,1,0
2013,145.0,1455,1326,5.0,129,1,0
2013,146.0,1181,1257,3.5,138,1,0
2013,146.0,1276,1196,3.5,134.5,1,0
2013,152.0,1455,1257,9.5,133,1,0
2013,152.0,1276,1393,-1.5,129,1,0
2013,154.0,1276,1257,4.0,137.5,1,0
2014,134.0,1301,1462,4.5,139.5,1,0
2014,135.0,1142,1411,-4.0,128.5,1,0
2014,135.0,1234,1397,-2.0,144,1,0
2014,136.0,1386,1163,4.5,132,1,0
2014,136.0,1173,1326,6.0,129.5,1,0
2014,136.0,1107,1196,22.0,119.5,1,0
2014,136.0,1217,1153,3.0,120,1,0
2014,136.0,1264,1257,16.5,141,1,0
2014,136.0,1459,1276,15.0,128,1,0
2014,136.0,1174,1277,14.5,154,1,0
2014,136.0,1295,1328,3.5,152,1,0
2014,136.0,1140,1332,5.0,157,1,0
2014,136.0,1338,1160,-6.0,126.5,1,0
2014,136.0,1301,1387,3.0,131.5,1,0
2014,136.0,1444,1393,13.0,127,1,0
2014,136.0,1113,1400,2.5,139,1,0
2014,136.0,1454,1437,16.5,137.5,1,0
2014,136.0,1110,1458,14.0,119,1,0
2014,137.0,1451,1112,20.0,126.5,1,0
2014,137.0,1304,1124,3.5,130,1,0
2014,137.0,1418,1166,13.5,155,1,0
2014,137.0,1329,1211,-4.0,138.5,1,0
2014,137.0,1300,1235,8.5,145,1,0
2014,137.0,1300,1235,8.5,145,1,0
2014,137.0,1184,1242,13.0,153,1,0
2014,137.0,1243,1246,6.0,132,1,0
2014,137.0,1203,1272,3.5,141,1,0
2014,137.0,1273,1181,13.0,139.5,1,0
2014,137.0,1344,1314,4.0,143,1,0
2014,137.0,1372,1433,6.0,134,1,0
2014,137.0,1390,1307,4.5,135.5,1,0
2014,137.0,1397,1269,-6.0,137,1,0
2014,137.0,1409,1417,8.0,146.5,1,0
2014,137.0,1157,1438,19.0,120,1,0
2014,137.0,1142,1455,17.0,125.5,1,0
2014,138.0,1163,1437,4.5,133,1,0
2014,138.0,1173,1393,8.5,130.5,1,0
2014,138.0,1338,1196,5.5,123.5,1,0
2014,138.0,1387,1257,10.0,133,1,0
2014,138.0,1400,1276,5.5,141,1,0
2014,138.0,1217,1277,8.5,136.5,1,0
2014,138.0,1295,1361,4.0,125.5,1,0
2014,138.0,1332,1458,6.0,146,1,0
2014,139.0,1211,1112,7.5,128.5,1,0
2014,139.0,1124,1166,4.0,141.5,1,0
2014,139.0,1314,1235,1.0,159.5,1,0
2014,139.0,1246,1455,4.5,132.5,1,0
2014,139.0,1390,1242,6.5,144,1,0
2014,139.0,1273,1397,8.5,130.5,1,0
2014,139.0,1372,1417,9.5,142,1,0
2014,139.0,1272,1438,7.0,127.5,1,0
2014,143.0,1361,1112,7.5,120,1,0
2014,143.0,1173,1390,3.0,132.5,1,0
2014,143.0,1417,1196,4.5,139,1,0
2014,143.0,1124,1458,4.0,136.5,1,0
2014,144.0,1163,1235,0.0,148.5,1,0
2014,144.0,1246,1257,4.0,139,1,0
2014,144.0,1397,1276,2.0,136,1,0
2014,144.0,1277,1438,-2.5,128.5,1,0
2014,145.0,1173,1196,10.0,134.5,1,0
2014,145.0,1458,1112,3.5,133,1,0
2014,146.0,1163,1277,5.0,139,1,0
2014,146.0,1246,1276,-2.5,141,1,0
2014,152.0,1163,1196,7.0,127,1,0
2014,152.0,1246,1458,0.0,138,1,0
2014,154.0,1246,1163,-2.5,135,1,0
2015,134.0,1214,1264,9.0,142,1,0
2015,134.0,1279,1140,3.0,158.5,1,0
2015,135.0,1129,1173,4.0,131,1,0
2015,135.0,1352,1316,4.0,138,1,0
2015,136.0,1411,1112,23.5,134.5,1,0
2015,136.0,1459,1116,7.0,136.5,1,0
2015,136.0,1400,1139,-2.5,123.5,1,0
2015,136.0,1345,1153,2.0,117,1,0
2015,136.0,1186,1207,8.5,149,1,0
2015,136.0,1209,1124,9.5,125.5,1,0
2015,136.0,1214,1246,35.0,134.5,1,0
2015,136.0,1261,1301,2.0,140,1,0
2015,136.0,1217,1314,10.0,139,1,0
2015,136.0,1318,1323,12.0,142,1,0
2015,136.0,1326,1433,-3.5,137,1,0
2015,136.0,1412,1235,14.0,145.5,1,0
2015,136.0,1417,1374,4.0,132,1,0
2015,136.0,1372,1428,6.5,131.5,1,0
2015,136.0,1248,1437,22.0,145,1,0
2015,136.0,1279,1462,2.0,144.5,1,0
2015,137.0,1173,1344,3.0,130,1,0
2015,137.0,1352,1181,22.5,143.5,1,0
2015,137.0,1295,1211,17.0,129.5,1,0
2015,137.0,1172,1234,2.5,145.5,1,0
2015,137.0,1308,1242,9.5,132.5,1,0
2015,137.0,1414,1257,8.5,123,1,0
2015,137.0,1434,1268,5.0,124,1,0
2015,137.0,1208,1277,6.0,126.5,1,0
2015,137.0,1461,1320,6.5,110.5,1,0
2015,137.0,1107,1328,13.0,131.5,1,0
2015,137.0,1329,1332,0.0,137.5,1,0
2015,137.0,1385,1361,4.5,123,1,0
2015,137.0,1125,1438,16.5,122,1,0
2015,137.0,1138,1452,4.5,149.5,1,0
2015,137.0,1231,1455,6.5,140.5,1,0
2015,137.0,1157,1458,20.0,132,1,0
2015,138.0,1326,1112,10.0,140,1,0
2015,138.0,1153,1246,15.5,121.5,1,0
2015,138.0,1301,1437,10.0,138.5,1,0
2015,138.0,1116,1314,5.0,158,1,0
2015,138.0,1139,1323,4.5,135.5,1,0
2015,138.0,1412,1417,5.5,135,1,0
2015,138.0,1428,1207,-4.5,125.5,1,0
2015,138.0,1209,1462,6.0,132,1,0
2015,139.0,1361,1181,9.0,130,1,0
2015,139.0,1234,1211,6.0,138,1,0
2015,139.0,1320,1257,-2.5,119,1,0
2015,139.0,1277,1438,4.5,117.5,1,0
2015,139.0,1173,1328,4.0,129,1,0
2015,139.0,1452,1268,-1.5,136.5,1,0
2015,139.0,1455,1242,0.0,134,1,0
2015,139.0,1332,1458,12.5,143,1,0
2015,143.0,1462,1112,11.5,139,1,0
2015,143.0,1452,1246,12.5,135,1,0
2015,143.0,1455,1323,-2.0,138.5,1,0
2015,143.0,1314,1458,6.0,145.5,1,0
2015,144.0,1428,1181,4.5,133,1,0
2015,144.0,1417,1211,8.5,144.5,1,0
2015,144.0,1301,1257,2.5,128.5,1,0
2015,144.0,1277,1328,-1.0,137,1,0
2015,145.0,1323,1246,11.0,138.5,1,0
2015,145.0,1112,1458,-1.5,132,1,0
2015,146.0,1211,1181,2.0,145,1,0
2015,146.0,1277,1257,-2.0,128,1,0
2015,152.0,1277,1181,5.0,138,1,0
