AdjEM,AdjOE,AdjDE,AdjTempo,Season,TeamID
-18.8278,96.9742,115.802,73.7518,2002,1212
-15.8085,95.9773,111.786,72.0256,2003,1212
-15.4342,92.9541,108.38799999999999,69.4353,2004,1212
-15.3161,93.62700000000001,108.943,68.3428,2005,1212
-15.7555,91.4671,107.223,67.1882,2006,1212
-17.671,93.74,111.411,66.8599,2007,1212
-24.3044,90.7259,115.03,67.673,2008,1212
-26.8975,89.4174,116.315,61.1429,2009,1212
-25.4701,88.4166,113.887,66.9836,2010,1212
-19.6337,86.6206,106.25399999999999,66.5282,2011,1212
-30.2271,84.9505,115.178,63.5931,2012,1212
-46.2684,75.8303,122.09899999999999,61.8344,2013,1212
-26.2005,95.3172,121.51799999999999,66.18,2014,1212
-37.6305,78.4395,116.07,65.0944,2015,1212
-21.3094,88.1646,109.47399999999999,65.7197,2016,1212
-16.0779,96.5442,112.62200000000001,66.9961,2017,1212
-11.8877,94.4781,106.366,72.2164,2018,1212
-9.42043,94.7544,104.175,69.7121,2019,1212
-19.2435,93.3988,112.64200000000001,68.9373,2002,1252
-16.2512,98.97399999999999,115.225,69.9431,2003,1252
-17.4865,96.2912,113.77799999999999,66.5935,2004,1252
-12.5564,95.2829,107.839,64.1287,2005,1252
-0.8912690000000001,99.7397,100.631,63.9847,2006,1252
-2.97966,103.52600000000001,106.505,60.8881,2007,1252
-3.7505,101.094,104.844,65.5886,2008,1252
0.197695,104.88600000000001,104.68799999999999,67.0271,2009,1252
-0.31511100000000003,108.81200000000001,109.12700000000001,68.9049,2010,1252
1.2804200000000001,105.99799999999999,104.71799999999999,69.7518,2011,1252
-4.033440000000001,100.824,104.85799999999999,68.0315,2012,1252
-12.8503,97.6605,110.51100000000001,68.6365,2013,1252
-8.727089999999999,102.603,111.33,68.8839,2014,1252
-11.0178,100.383,111.40100000000001,67.425,2015,1252
-10.2811,101.162,111.443,72.7498,2016,1252
0.319248,107.135,106.816,74.1533,2017,1252
0.36362300000000003,103.79299999999999,103.43,74.8966,2018,1252
13.2317,110.12299999999999,96.8914,72.9291,2019,1252
-19.4124,94.309,113.721,67.56,2002,1411
-9.73895,98.706,108.445,68.023,2003,1411
