Season,Date,Team1,Team2,Home_Team,Favorite,Line,Team1_Score,Team2_Score,OU,is_neutral,MoV,TeamID1,TeamID2
2008,1114,OralRoberts,TexasA&MCorpus,None,OralRoberts,-8.5,81.0,86.0,132.5,1,-5.0,1331,1394
2008,1114,UTEP,TexasA&M,TexasA&M,TexasA&M,13.5,76.0,81.0,131,0,-5.0,1431,1401
2008,1114,NorthCarolina,Davidson,Davidson,NorthCarolina,-10.5,72.0,68.0,165,0,4.0,1314,1172
2008,1114,Iona,Princeton,Princeton,Princeton,6.0,58.0,66.0,120,0,-8.0,1233,1343
2008,1114,SEMissouriSt,IllinoisState,IllinoisState,IllinoisState,17.0,71.0,90.0,134,0,-19.0,1369,1229
2008,1114,NorthernColorado,Iowa,Iowa,Iowa,15.0,47.0,59.0,127.5,0,-12.0,1294,1234
2008,1114,IdahoState,BYU,BYU,BYU,17.0,69.0,90.0,126,0,-21.0,1226,1140
2008,1115,William&Mary,NCState,NCState,NCState,15.0,47.0,66.0,134,0,-19.0,1456,1301
2008,1115,Michigan,Georgetown,Georgetown,Georgetown,13.0,52.0,74.0,124,0,-22.0,1276,1207
2008,1115,Stanford,Northwestern,Northwestern,Stanford,-8.0,71.0,60.0,127.5,0,11.0,1390,1321
2008,1115,Clemson,MississippiSt,MississippiSt,MississippiSt,4.0,84.0,82.0,144,0,2.0,1155,1280
2008,1115,Northeastern,Maryland,Maryland,Maryland,16.5,72.0,74.0,141,0,-2.0,1318,1268
2008,1115,UtahState,CalPolySLO,CalPolySLO,CalPolySLO,3.0,69.0,83.0,142,0,-14.0,1429,1142
2008,1115,HoustonU,VaCommonwealth,VaCommonwealth,VaCommonwealth,0.0,72.0,73.0,143,0,-1.0,1222,1433
2008,1115,Marist,MiamiFlorida,MiamiFlorida,MiamiFlorida,8.0,61.0,85.0,146,0,-24.0,1265,1274
2008,1115,Temple,Providence,Providence,Providence,4.5,64.0,66.0,150.5,0,-2.0,1396,1344
2008,1115,CollCharleston,Arkansas,Arkansas,Arkansas,15.0,49.0,75.0,143,0,-26.0,1158,1116
2008,1115,Lipscomb,AppalachianSt,None,AppalachianSt,7.5,58.0,81.0,138.5,1,-23.0,1252,1111
2008,1115,SanJoseState,MiddleTennSt,MiddleTennSt,MiddleTennSt,10.5,78.0,77.0,126,0,1.0,1363,1292
2008,1115,GardnerWebb,Connecticut,None,Connecticut,14.5,66.0,78.0,143.5,1,-12.0,1205,1163
2008,1115,Oklahoma,MemphisU,None,MemphisU,7.0,53.0,63.0,148.5,1,-10.0,1328,1272
2008,1115,ColoradoState,OregonState,None,OregonState,6.5,69.0,56.0,121.5,1,13.0,1161,1333
2008,1115,USC,TheCitadel,TheCitadel,USC,-20.5,74.0,47.0,143,0,27.0,1425,1154
2008,1115,CalRiverside,E.Washington,E.Washington,E.Washington,2.5,51.0,59.0,132.5,0,-8.0,1415,1186
2008,1116,Fordham,Syracuse,Syracuse,Syracuse,10.0,63.0,80.0,152,0,-17.0,1200,1393
2008,1116,Toledo,OldDominion,OldDominion,OldDominion,9.0,35.0,66.0,126,0,-31.0,1405,1330
2008,1116,WesternMichigan,LoyolaChicago,LoyolaChicago,LoyolaChicago,1.5,63.0,61.0,148,0,2.0,1444,1260
2008,1116,ArkansasState,Tulsa,Tulsa,Tulsa,9.5,59.0,75.0,133.5,0,-16.0,1117,1409
2008,1116,UCDavis,Texas,Texas,Texas,26.0,42.0,73.0,140,0,-31.0,1413,1400
2008,1116,ULLafayette,LouisianaTech,LouisianaTech,LouisianaTech,3.5,56.0,64.0,135,0,-8.0,1418,1256
2008,1116,IdahoU,WashingtonState,WashingtonState,WashingtonState,26.0,43.0,74.0,128.5,0,-31.0,1225,1450
2008,1116,Illinois,Hawaii,Hawaii,Illinois,-3.5,79.0,77.0,126,0,2.0,1228,1218
2008,1116,Marist,HoustonU,None,HoustonU,10.5,58.0,64.0,147,1,-6.0,1265,1222
2008,1116,MiamiFlorida,VaCommonwealth,None,MiamiFlorida,-3.0,69.0,63.0,141.5,1,6.0,1274,1433
2008,1116,Providence,Arkansas,None,Arkansas,6.5,67.0,51.0,137.5,1,16.0,1344,1116
2008,1116,CollCharleston,Temple,None,Temple,5.0,79.0,76.0,143.5,1,3.0,1158,1396
2008,1116,ClevelandState,GeorgiaSouthern,None,ClevelandState,-2.0,70.0,72.0,133.5,1,-2.0,1156,1204
2008,1116,RhodeIsland,SouthFlorida,None,RhodeIsland,-6.5,74.0,67.0,151.5,1,7.0,1348,1378
2008,1116,FlaAtlantic,Stetson,None,FlaAtlantic,-9.0,68.0,62.0,133.5,1,6.0,1194,1391
2008,1116,FloridaState,UAB,None,FloridaState,-2.5,78.0,70.0,144.5,1,8.0,1199,1412
2008,1116,NCCharlotte,GeorgiaTech,None,GeorgiaTech,9.0,77.0,82.0,156.5,1,-5.0,1150,1210
2008,1116,IllinoisChicago,Winthrop,None,Winthrop,4.0,58.0,72.0,139.5,1,-14.0,1228,1457
2008,1116,Baylor,WichitaState,None,Baylor,-5.0,64.0,55.0,147,1,9.0,1124,1455
2008,1116,Monmouth,NotreDame,None,NotreDame,16.5,33.0,76.0,145.5,1,-43.0,1284,1323
2008,1116,AppalachianSt,SanJoseState,None,AppalachianSt,-6.5,62.0,64.0,141,1,-2.0,1111,1363
2008,1116,Lipscomb,MiddleTennSt,MiddleTennSt,MiddleTennSt,10.0,62.0,68.0,140,0,-6.0,1252,1292
2008,1116,GardnerWebb,Oklahoma,None,Oklahoma,12.5,55.0,69.0,131.5,1,-14.0,1205,1328
2008,1116,Connecticut,MemphisU,None,MemphisU,8.0,70.0,81.0,144.5,1,-11.0,1163,1272
2008,1116,St.Bonaventure,LoyolaMarymount,None,St.Bonaventure,-3.5,61.0,50.0,136.5,1,11.0,1382,1258
2008,1116,Presbyterian,NewMexico,NewMexico,NewMexico,31.0,57.0,88.0,127,0,-31.0,1342,1307
2008,1116,SCarUpstate,Akron,None,Akron,26.0,60.0,64.0,133,1,-4.0,1367,1103
2008,1116,PortlandState,IUPUI,None,IUPUI,2.5,75.0,73.0,144.5,1,2.0,1340,1237
2008,1116,Canisius,PennState,PennState,PennState,17.5,40.0,93.0,131,0,-53.0,1145,1336
2008,1116,CentralMichigan,Niagara,Niagara,Niagara,2.5,73.0,79.0,153,0,-6.0,1141,1310
2008,1116,BoiseState,MontanaState,MontanaState,BoiseState,-1.0,84.0,86.0,148.5,0,-2.0,1129,1286
2008,1117,Northwestern,Depaul,Depaul,Depaul,11.0,53.0,54.0,122,0,-1.0,1321,1177
2008,1117,IndianaState,NorthTexas,NorthTexas,NorthTexas,5.0,69.0,78.0,136,0,-9.0,1232,1317
2008,1117,Cornell,Ohio,Ohio,Ohio,10.0,89.0,102.0,152.5,0,-13.0,1165,1325
2008,1117,JamesMadison,Dartmouth,Dartmouth,JamesMadison,-3.0,72.0,57.0,141,0,15.0,1241,1171
2008,1117,Rutgers,Florida,Florida,Florida,14.5,63.0,88.0,145,0,-25.0,1353,1196
2008,1117,Dayton,GeorgeMason,GeorgeMason,GeorgeMason,8.5,56.0,67.0,124,0,-11.0,1173,1206
2008,1117,WiscGreenBay,Massachusetts,Massachusetts,Massachusetts,9.5,78.0,93.0,159,0,-15.0,1453,1269
2008,1117,USC,SouthCarolina,SouthCarolina,SouthCarolina,4.0,85.0,75.0,152,0,10.0,1425,1376
2008,1117,Butler,Evansville,Evansville,Butler,-9.0,60.0,47.0,116,0,13.0,1139,1191
2008,1117,NoIllinois,SoIllinois,SoIllinois,SoIllinois,21.0,68.0,88.0,127,0,-20.0,1296,1356
2008,1117,Colorado,Wisconsin,Wisconsin,Wisconsin,20.5,52.0,78.0,127.5,0,-26.0,1160,1458
2008,1117,CalRiverside,Gonzaga,Gonzaga,Gonzaga,25.5,48.0,84.0,124.5,0,-36.0,1415,1211
2008,1117,Duquesne,Rice,Rice,Duquesne,-9.5,86.0,59.0,171,0,27.0,1182,1349
2008,1117,Virginia,Arizona,Arizona,Arizona,7.0,75.0,72.0,153.5,0,3.0,1438,1112
2008,1117,UNLV,SanDiego,SanDiego,SanDiego,2.0,66.0,55.0,154,0,11.0,1424,1360
2008,1117,CSNorthridge,Pepperdine,Pepperdine,Pepperdine,1.5,97.0,89.0,175,0,8.0,1169,1337
2008,1117,UtahState,CalIrvine,CalIrvine,CalIrvine,3.5,51.0,70.0,142.5,0,-19.0,1429,1414
2008,1117,Oregon,PortlandU,PortlandU,Oregon,-14.0,85.0,61.0,152,0,24.0,1332,1339
2008,1117,SantaClara,Nevada,Nevada,Nevada,9.5,54.0,67.0,131,0,-13.0,1365,1305
2008,1117,SouthFlorida,FlaAtlantic,None,SouthFlorida,-3.5,100.0,69.0,143,1,31.0,1378,1194
2008,1117,GeorgiaSouthern,UAB,None,UAB,11.0,59.0,57.0,145.5,1,2.0,1204,1412
2008,1117,FloridaState,ClevelandState,None,FloridaState,-12.5,66.0,69.0,143.5,1,-3.0,1199,1156
2008,1117,RhodeIsland,Stetson,None,RhodeIsland,-19.5,80.0,65.0,138,1,15.0,1348,1391
2008,1117,IllinoisChicago,NCCharlotte,None,NCCharlotte,4.0,63.0,64.0,145.5,1,-1.0,1228,1150
2008,1117,Monmouth,WichitaState,None,WichitaState,10.0,59.0,50.0,123,1,9.0,1284,1455
2008,1117,TennesseeState,ColoradoState,None,TennesseeState,-1.0,68.0,87.0,142.5,1,-19.0,1398,1161
2008,1117,SCarUpstate,IUPUI,None,IUPUI,15.5,54.0,80.0,139,1,-26.0,1367,1237
2008,1117,PortlandState,Akron,None,Akron,6.5,66.0,63.0,140.5,1,3.0,1340,1103
2008,1117,Lipscomb,SanJoseState,None,SanJoseState,4.5,79.0,72.0,134,1,7.0,1252,1363
2008,1117,Stanford,Siena,Siena,Stanford,-8.5,67.0,79.0,NL,0,-12.0,1390,1373
2008,1117,MoreheadState,BowlingGreen,BowlingGreen,BowlingGreen,12.0,70.0,86.0,127,0,-16.0,1287,1132
2008,1117,Delaware,Rider,Rider,Rider,7.0,71.0,76.0,150,0,-5.0,1174,1351
